Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
A100 at Microsoft Project Osmium on 2021-01-01T00:00:00.000Z,Microsoft Project Osmium,2021-01-01,A100,25000,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,"[Semianalysis](https://newsletter.semianalysis.com/p/microsofts-ai-strategy-deconstructed) believes ""~25k A100 chips"" are in Building 1, taking 2/5 data halls in the building. ",Epoch AI,2026-05-03T00:19:42.000Z,Epoch AI,2026-05-16 10:34:03+00:00
A100 at Microsoft Goodyear on 2021-06-16T00:00:00.000Z,Microsoft Goodyear,2021-06-16,A100,20000,Estimate,Estimate,Microsoft #confident,Microsoft #confident,"A100 assumed from operational date (Q2 2021). Count capped at 20,000 based on estimated global A100 supply at the time.",Epoch AI,2026-04-02T19:44:27.000Z,Epoch AI,2026-05-16 10:29:35+00:00
TPU v4 at Google Papillion on 2023-01-23T00:00:00.000Z,Google Papillion,2023-01-23,TPU v4,194429,Estimate,Estimate,Google Cloud #confident,Google #likely,"Building 1 (Q1 FY23 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-18T17:05:24.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v5e at Google Papillion on 2023-01-23T00:00:00.000Z,Google Papillion,2023-01-23,TPU v5e,35553,Estimate,Estimate,Google Cloud #confident,Google #likely,"Building 1 (Q1 FY23 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-18T18:44:20.000Z,Epoch AI,2026-05-18 18:44:20+00:00
H100 at Microsoft Goodyear on 2023-04-24T00:00:00.000Z,Microsoft Goodyear,2023-04-24,H100,29151,Estimate,Estimate,Microsoft #confident,Microsoft #confident,H100 assumed from operational date (Q2 2023). Count = IT capacity / H100 HGX server power × 8 chips per server.,Epoch AI,2026-04-02T19:44:28.000Z,Epoch AI,2026-05-16 10:29:36+00:00
H100 at Microsoft Project Osmium on 2023-06-30T00:00:00.000Z,Microsoft Project Osmium,2023-06-30,H100,32680,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,Type estimated based on chip sales data. # of units estimated based on power for Building 2.,Epoch AI,2026-05-04T23:34:07.000Z,Epoch AI,2026-05-18 15:53:10+00:00
TPU v5e at Google Storey County on 2023-08-30T00:00:00.000Z,Google Storey County,2023-08-30,TPU v5e,205463,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 expansion (Q4 FY23 mix: v5e only), assuming it was fully retrofitted with TPUv5e.",Epoch AI,2026-05-01T19:31:24.000Z,Epoch AI,2026-05-16 10:32:58+00:00
TPU v5e at Google Lancaster on 2024-01-01T00:00:00.000Z,Google Lancaster,2024-01-01,TPU v5e,157105,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q1 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-05T22:29:33.000Z,Epoch AI,2026-06-05 22:29:33+00:00
TPU v5p at Google Lancaster on 2024-01-01T00:00:00.000Z,Google Lancaster,2024-01-01,TPU v5p,7273,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q1 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-05T22:29:34.000Z,Epoch AI,2026-06-05 22:29:34+00:00
H100 at CoreWeave Chester VA on 2024-01-31T00:00:00.000Z,CoreWeave Chester VA,2024-01-31,H100,14800,Estimate,Estimate,CoreWeave #confident,,"Partial CTP-01 estimate using 18 MW of IT power. H100 is my best guess for this 2024 capacity, but I did not find a Chester-specific chip disclosure.",Epoch AI,2026-06-09T19:59:04.000Z,Epoch AI,2026-06-09 19:59:04+00:00
